ts,action,mint,symbol,pool,sol_lamports,token_raw,usd_value,gecko_price_usd,reason,signature,note,arm
1788241539,paper_buy,BHxF19DX8FPs1m9b9gZcSVdaFCmY861mYsRRPL4Dpump,HORIZON,5pTMuNssNYh5sRde6LsGdMzuiSHm9VM3xmx2fBBDc1at,19187333,126165809473,2,0.012700877884570035,,,paper,birth
1788241539,paper_buy,Hk8tNDRsvD6bsBiqARngLRfsXZCyfbUatHFxdKzNjDZu,PONS,GH4xnjipuypBqoLQsrKRrak57r3N7vonT58WG9HknMxu,19187333,10784429202,2,0.00013692404514275788,,,paper,birth
1788241539,paper_buy,BHxF19DX8FPs1m9b9gZcSVdaFCmY861mYsRRPL4Dpump,HORIZON,5pTMuNssNYh5sRde6LsGdMzuiSHm9VM3xmx2fBBDc1at,19187333,126165809473,2,0.012700877884570035,,,paper,wait30
1788241539,paper_buy,Hk8tNDRsvD6bsBiqARngLRfsXZCyfbUatHFxdKzNjDZu,PONS,GH4xnjipuypBqoLQsrKRrak57r3N7vonT58WG9HknMxu,19187333,10784429202,2,0.00013692404514275788,,,paper,wait30
1788241539,paper_buy,CaSSXA2sFnvGDKNAoZmPMvBJ2NXFdA8iCopQB966HDJL,CALLOUT,7mQUSBrHQdEBBQZvMebJFVsdpmakSm4RjBnFhYvm8jZy,19187333,33364943098,2,6.512422728077513e-05,,,paper,wait30
1788241539,paper_buy,Hk8tNDRsvD6bsBiqARngLRfsXZCyfbUatHFxdKzNjDZu,PONS,GH4xnjipuypBqoLQsrKRrak57r3N7vonT58WG9HknMxu,19187333,10784429202,2,0.00013692404514275788,,,paper,wait60
1788241539,paper_buy,FkBZvDqUxg4Cm7EXkY1ua4bGihecqTtwUpvgEH7LpKWt,ROBBIE,FcUcqV8s4LAnY8vykaBfR9Y2LukvaDp2fhyAyYnbmv3V,19187333,69485901833,2,2.776922292327884e-05,,,paper,wait60
1788241539,paper_buy,MAj9qDfvj5Vwva2cp1jYNLRjsUB6xsnVy5rFdBobByx,084BEAR,FF7fBEsae3ih8AYdwSdWz58pc4TFJxvLxzudk1ER1cjd,19187333,3848343833,2,0.0005014020625666709,,,paper,wait120
1788241539,paper_buy,BHxF19DX8FPs1m9b9gZcSVdaFCmY861mYsRRPL4Dpump,HORIZON,5pTMuNssNYh5sRde6LsGdMzuiSHm9VM3xmx2fBBDc1at,19187333,126165809473,2,0.012700877884570035,,,paper,hold10m
1788241539,paper_buy,YqQRrfQ57YE1iGvsF83ECRBcUAcx1JxFi7tHeMVpump,GSD,Eg7AbXxUCisxVyj3fwdB6iBjVbjyuDfdcMCBrRDXUqxo,19187333,419349774753303,2,2.6928666804354923e-05,,,paper,hold10m
1788241539,paper_buy,Hk8tNDRsvD6bsBiqARngLRfsXZCyfbUatHFxdKzNjDZu,PONS,GH4xnjipuypBqoLQsrKRrak57r3N7vonT58WG9HknMxu,19187333,10784429202,2,0.00013692404514275788,,,paper,hold10m
1788241539,paper_buy,BHxF19DX8FPs1m9b9gZcSVdaFCmY861mYsRRPL4Dpump,HORIZON,5pTMuNssNYh5sRde6LsGdMzuiSHm9VM3xmx2fBBDc1at,19187333,126165809473,2,0.012700877884570035,,,paper,trail
1788241539,paper_buy,YqQRrfQ57YE1iGvsF83ECRBcUAcx1JxFi7tHeMVpump,GSD,Eg7AbXxUCisxVyj3fwdB6iBjVbjyuDfdcMCBrRDXUqxo,19187333,419349774753303,2,2.6928666804354923e-05,,,paper,trail
1788241539,paper_buy,Hk8tNDRsvD6bsBiqARngLRfsXZCyfbUatHFxdKzNjDZu,PONS,GH4xnjipuypBqoLQsrKRrak57r3N7vonT58WG9HknMxu,19187333,10784429202,2,0.00013692404514275788,,,paper,trail
1788241578,paper_buy,6sVTyHP1FCo9fobnLN61Je9HKa2M9boZKVgYbTQkpump,PROSTATE,pump,19186253,653457488907,2,,,,paper,birth
1788241578,paper_buy,qWLreovfbrr46uoaUvxb8ivDPuv4EPKFYWfjF3tpump,BIG OG,pump,19186253,676881714211,2,,,,paper,birth
1788241578,paper_buy,6pZBkMDQT8dBJB5xFMtFwEwhPjcgeBW4i7Yx7tYJpump,BIG OG,pump,19186253,676881714211,2,,,,paper,birth
1788241578,paper_buy,6sVTyHP1FCo9fobnLN61Je9HKa2M9boZKVgYbTQkpump,PROSTATE,pump,19186253,653457488907,2,,,,paper,wait30
1788241578,paper_buy,BHxF19DX8FPs1m9b9gZcSVdaFCmY861mYsRRPL4Dpump,HORIZON,5pTMuNssNYh5sRde6LsGdMzuiSHm9VM3xmx2fBBDc1at,19186253,125172130756,2,0.012700877884570035,,,paper,wait60
1788241578,paper_buy,FkBZvDqUxg4Cm7EXkY1ua4bGihecqTtwUpvgEH7LpKWt,ROBBIE,FcUcqV8s4LAnY8vykaBfR9Y2LukvaDp2fhyAyYnbmv3V,19186253,71394809874,2,2.776922292327884e-05,,,paper,wait120
1788241578,paper_buy,6sVTyHP1FCo9fobnLN61Je9HKa2M9boZKVgYbTQkpump,PROSTATE,pump,19186253,653457488907,2,,,,paper,hold10m
1788241578,paper_buy,qWLreovfbrr46uoaUvxb8ivDPuv4EPKFYWfjF3tpump,BIG OG,pump,19186253,676881714211,2,,,,paper,hold10m
1788241578,paper_buy,6pZBkMDQT8dBJB5xFMtFwEwhPjcgeBW4i7Yx7tYJpump,BIG OG,pump,19186253,676881714211,2,,,,paper,hold10m
1788241578,paper_buy,6sVTyHP1FCo9fobnLN61Je9HKa2M9boZKVgYbTQkpump,PROSTATE,pump,19186253,653457488907,2,,,,paper,trail
1788241593,paper_buy,Hk8tNDRsvD6bsBiqARngLRfsXZCyfbUatHFxdKzNjDZu,PONS,GH4xnjipuypBqoLQsrKRrak57r3N7vonT58WG9HknMxu,19186253,7726607967,2,0.00013692404514275788,,,paper,wait120
1788241593,paper_buy,7vqkqwjLHKig6sDZW7kZjw3ZJ2anc2Gv6cUzobf3pump,QUANTUM,pump,19186253,676881714189,2,,,,paper,hold10m
1788241593,paper_buy,FpG1wtCpaggjU8vTgV9VKfKwTwRoqYDk4sR1Pgkcpump,Chihuahua,pump,19186253,677328433414,2,,,,paper,hold10m
1788241593,paper_buy,3XtAMtWMh8h73xdN1nKxac4gpDjVcuxhgrR6mcTEpump,GSD,pump,19186253,20383023765948,2,,,,paper,hold10m
1788241593,paper_buy,2w4PR5SeYqfWAiyQqZpZegYfL7B8jDjkTe5aJKVZpump,Petey,pump,19186253,677283851993,2,,,,paper,hold10m
1788241593,paper_buy,qWLreovfbrr46uoaUvxb8ivDPuv4EPKFYWfjF3tpump,BIG OG,pump,19186253,676881714211,2,,,,paper,trail
1788241593,paper_buy,6pZBkMDQT8dBJB5xFMtFwEwhPjcgeBW4i7Yx7tYJpump,BIG OG,pump,19186253,676881714211,2,,,,paper,trail
1788241593,paper_buy,B5DAoVsVM4WazjTWyydSKmQsV13bHyEhtiF9GyRppump,QUANTUM,pump,19186253,659844827443,2,,,,paper,trail
1788241723,paper_buy,4BRQJBdpdWbhUjNK7YaJTGgHo3iW35J3gYvv9v5Epump,‎ ,pump,19173130,676865446406,2,,,,paper,birth
1788241723,paper_buy,BxjnZDjRtcar9ML6CgUEN9GudceHwFBAbcu5e8LaEGXi,BONK,pump,19173130,672746192018,2,,,,paper,birth
