scored_at,token,symbol,group,strategy,entry_ts,exit_reason,net_return_pct
2026-08-25T07:12:17+00:00,ApZuxdpzMrbEYTGEzeY9afh5pj9d6qPRJCTgQYiipbKg,CYBERLEEK,control,tp20_sl30,1787540947,take_profit,16.8
2026-08-25T07:12:17+00:00,ApZuxdpzMrbEYTGEzeY9afh5pj9d6qPRJCTgQYiipbKg,CYBERLEEK,control,tp50_sl30,1787540947,take_profit,46.8
2026-08-25T07:12:17+00:00,ApZuxdpzMrbEYTGEzeY9afh5pj9d6qPRJCTgQYiipbKg,CYBERLEEK,control,tp100_sl50,1787540947,held_to_timeout,-11.54
2026-08-25T07:12:17+00:00,ApZuxdpzMrbEYTGEzeY9afh5pj9d6qPRJCTgQYiipbKg,CYBERLEEK,control,noTP_sl50,1787540947,held_to_timeout,-11.54
2026-08-25T07:12:17+00:00,ApZuxdpzMrbEYTGEzeY9afh5pj9d6qPRJCTgQYiipbKg,CYBERLEEK,control,hold24h,1787540947,held_to_timeout,-11.54
2026-08-25T07:13:05+00:00,Ai66LHZG9MCzg1WKdawwqduVAXpNDUuV8M3uyq5ppump,CATE,control,tp20_sl30,1787540947,take_profit,16.8
2026-08-25T07:13:05+00:00,Ai66LHZG9MCzg1WKdawwqduVAXpNDUuV8M3uyq5ppump,CATE,control,tp50_sl30,1787540947,take_profit,46.8
2026-08-25T07:13:05+00:00,Ai66LHZG9MCzg1WKdawwqduVAXpNDUuV8M3uyq5ppump,CATE,control,tp100_sl50,1787540947,take_profit,96.8
2026-08-25T07:13:05+00:00,Ai66LHZG9MCzg1WKdawwqduVAXpNDUuV8M3uyq5ppump,CATE,control,noTP_sl50,1787540947,held_to_timeout,96.81
2026-08-25T07:13:05+00:00,Ai66LHZG9MCzg1WKdawwqduVAXpNDUuV8M3uyq5ppump,CATE,control,hold24h,1787540947,held_to_timeout,96.81
2026-08-25T07:13:20+00:00,4978aTN9W3CDuUREGxAQaBYqhPXt8142N4o4Sfgzpump,YOMOGI,control,tp20_sl30,1787540947,stop_loss,-33.2
2026-08-25T07:13:20+00:00,4978aTN9W3CDuUREGxAQaBYqhPXt8142N4o4Sfgzpump,YOMOGI,control_small,tp20_sl30,1787540947,stop_loss,-33.2
2026-08-25T07:13:20+00:00,4978aTN9W3CDuUREGxAQaBYqhPXt8142N4o4Sfgzpump,YOMOGI,control,tp50_sl30,1787540947,stop_loss,-33.2
2026-08-25T07:13:20+00:00,4978aTN9W3CDuUREGxAQaBYqhPXt8142N4o4Sfgzpump,YOMOGI,control_small,tp50_sl30,1787540947,stop_loss,-33.2
2026-08-25T07:13:20+00:00,4978aTN9W3CDuUREGxAQaBYqhPXt8142N4o4Sfgzpump,YOMOGI,control,tp100_sl50,1787540947,held_to_timeout,-34.46
2026-08-25T07:13:20+00:00,4978aTN9W3CDuUREGxAQaBYqhPXt8142N4o4Sfgzpump,YOMOGI,control_small,tp100_sl50,1787540947,held_to_timeout,-34.46
2026-08-25T07:13:20+00:00,4978aTN9W3CDuUREGxAQaBYqhPXt8142N4o4Sfgzpump,YOMOGI,control,noTP_sl50,1787540947,held_to_timeout,-34.46
2026-08-25T07:13:20+00:00,4978aTN9W3CDuUREGxAQaBYqhPXt8142N4o4Sfgzpump,YOMOGI,control_small,noTP_sl50,1787540947,held_to_timeout,-34.46
2026-08-25T07:13:20+00:00,4978aTN9W3CDuUREGxAQaBYqhPXt8142N4o4Sfgzpump,YOMOGI,control,hold24h,1787540947,held_to_timeout,-34.46
2026-08-25T07:13:20+00:00,4978aTN9W3CDuUREGxAQaBYqhPXt8142N4o4Sfgzpump,YOMOGI,control_small,hold24h,1787540947,held_to_timeout,-34.46
2026-08-25T07:13:26+00:00,7fmHqRpJLgpVsJFTvrv24CEjkz9c4o5uVX4Zdur1hz35,Dinger,control,tp20_sl30,1787540947,take_profit,16.8
2026-08-25T07:13:26+00:00,7fmHqRpJLgpVsJFTvrv24CEjkz9c4o5uVX4Zdur1hz35,Dinger,liq_pocket,tp20_sl30,1787540947,take_profit,16.8
2026-08-25T07:13:26+00:00,7fmHqRpJLgpVsJFTvrv24CEjkz9c4o5uVX4Zdur1hz35,Dinger,control_small,tp20_sl30,1787540947,take_profit,16.8
2026-08-25T07:13:26+00:00,7fmHqRpJLgpVsJFTvrv24CEjkz9c4o5uVX4Zdur1hz35,Dinger,control,tp50_sl30,1787540947,stop_loss,-33.2
2026-08-25T07:13:26+00:00,7fmHqRpJLgpVsJFTvrv24CEjkz9c4o5uVX4Zdur1hz35,Dinger,liq_pocket,tp50_sl30,1787540947,stop_loss,-33.2
2026-08-25T07:13:26+00:00,7fmHqRpJLgpVsJFTvrv24CEjkz9c4o5uVX4Zdur1hz35,Dinger,control_small,tp50_sl30,1787540947,stop_loss,-33.2
2026-08-25T07:13:26+00:00,7fmHqRpJLgpVsJFTvrv24CEjkz9c4o5uVX4Zdur1hz35,Dinger,control,tp100_sl50,1787540947,stop_loss,-53.2
2026-08-25T07:13:26+00:00,7fmHqRpJLgpVsJFTvrv24CEjkz9c4o5uVX4Zdur1hz35,Dinger,liq_pocket,tp100_sl50,1787540947,stop_loss,-53.2
2026-08-25T07:13:26+00:00,7fmHqRpJLgpVsJFTvrv24CEjkz9c4o5uVX4Zdur1hz35,Dinger,control_small,tp100_sl50,1787540947,stop_loss,-53.2
2026-08-25T07:13:26+00:00,7fmHqRpJLgpVsJFTvrv24CEjkz9c4o5uVX4Zdur1hz35,Dinger,control,noTP_sl50,1787540947,stop_loss,-53.2
2026-08-25T07:13:26+00:00,7fmHqRpJLgpVsJFTvrv24CEjkz9c4o5uVX4Zdur1hz35,Dinger,liq_pocket,noTP_sl50,1787540947,stop_loss,-53.2
2026-08-25T07:13:26+00:00,7fmHqRpJLgpVsJFTvrv24CEjkz9c4o5uVX4Zdur1hz35,Dinger,control_small,noTP_sl50,1787540947,stop_loss,-53.2
2026-08-25T07:13:26+00:00,7fmHqRpJLgpVsJFTvrv24CEjkz9c4o5uVX4Zdur1hz35,Dinger,control,hold24h,1787540947,held_to_timeout,-82.63
2026-08-25T07:13:26+00:00,7fmHqRpJLgpVsJFTvrv24CEjkz9c4o5uVX4Zdur1hz35,Dinger,liq_pocket,hold24h,1787540947,held_to_timeout,-82.63
2026-08-25T07:13:26+00:00,7fmHqRpJLgpVsJFTvrv24CEjkz9c4o5uVX4Zdur1hz35,Dinger,control_small,hold24h,1787540947,held_to_timeout,-82.63
2026-08-25T07:13:41+00:00,9HHTQ7YMx82E987cNqF9KczyZrfKgqvKNyA2yHSVpump,CYBERCAT,control,tp20_sl30,1787540947,take_profit,16.8
2026-08-25T07:13:41+00:00,9HHTQ7YMx82E987cNqF9KczyZrfKgqvKNyA2yHSVpump,CYBERCAT,age_1_24h,tp20_sl30,1787540947,take_profit,16.8
2026-08-25T07:13:41+00:00,9HHTQ7YMx82E987cNqF9KczyZrfKgqvKNyA2yHSVpump,CYBERCAT,liq_pocket,tp20_sl30,1787540947,take_profit,16.8
2026-08-25T07:13:41+00:00,9HHTQ7YMx82E987cNqF9KczyZrfKgqvKNyA2yHSVpump,CYBERCAT,control_small,tp20_sl30,1787540947,take_profit,16.8
2026-08-25T07:13:41+00:00,9HHTQ7YMx82E987cNqF9KczyZrfKgqvKNyA2yHSVpump,CYBERCAT,control,tp50_sl30,1787540947,take_profit,46.8
2026-08-25T07:13:41+00:00,9HHTQ7YMx82E987cNqF9KczyZrfKgqvKNyA2yHSVpump,CYBERCAT,age_1_24h,tp50_sl30,1787540947,take_profit,46.8
2026-08-25T07:13:41+00:00,9HHTQ7YMx82E987cNqF9KczyZrfKgqvKNyA2yHSVpump,CYBERCAT,liq_pocket,tp50_sl30,1787540947,take_profit,46.8
2026-08-25T07:13:41+00:00,9HHTQ7YMx82E987cNqF9KczyZrfKgqvKNyA2yHSVpump,CYBERCAT,control_small,tp50_sl30,1787540947,take_profit,46.8
2026-08-25T07:13:41+00:00,9HHTQ7YMx82E987cNqF9KczyZrfKgqvKNyA2yHSVpump,CYBERCAT,control,tp100_sl50,1787540947,stop_loss,-53.2
2026-08-25T07:13:41+00:00,9HHTQ7YMx82E987cNqF9KczyZrfKgqvKNyA2yHSVpump,CYBERCAT,age_1_24h,tp100_sl50,1787540947,stop_loss,-53.2
2026-08-25T07:13:41+00:00,9HHTQ7YMx82E987cNqF9KczyZrfKgqvKNyA2yHSVpump,CYBERCAT,liq_pocket,tp100_sl50,1787540947,stop_loss,-53.2
2026-08-25T07:13:41+00:00,9HHTQ7YMx82E987cNqF9KczyZrfKgqvKNyA2yHSVpump,CYBERCAT,control_small,tp100_sl50,1787540947,stop_loss,-53.2
2026-08-25T07:13:41+00:00,9HHTQ7YMx82E987cNqF9KczyZrfKgqvKNyA2yHSVpump,CYBERCAT,control,noTP_sl50,1787540947,stop_loss,-53.2
2026-08-25T07:13:41+00:00,9HHTQ7YMx82E987cNqF9KczyZrfKgqvKNyA2yHSVpump,CYBERCAT,age_1_24h,noTP_sl50,1787540947,stop_loss,-53.2
2026-08-25T07:13:41+00:00,9HHTQ7YMx82E987cNqF9KczyZrfKgqvKNyA2yHSVpump,CYBERCAT,liq_pocket,noTP_sl50,1787540947,stop_loss,-53.2
2026-08-25T07:13:41+00:00,9HHTQ7YMx82E987cNqF9KczyZrfKgqvKNyA2yHSVpump,CYBERCAT,control_small,noTP_sl50,1787540947,stop_loss,-53.2
2026-08-25T07:13:41+00:00,9HHTQ7YMx82E987cNqF9KczyZrfKgqvKNyA2yHSVpump,CYBERCAT,control,hold24h,1787540947,held_to_timeout,-83.88
